squad,league,season,squad_value
Stuttgart,Bundesliga,2021,174225000
Hertha BSC,Bundesliga,2021,155775000
Mainz,Bundesliga,2021,131025000
Union Berlin,Bundesliga,2021,115900000
Köln,Bundesliga,2021,99275000
Augsburg,Bundesliga,2021,95300000
Arminia Bielefeld,Bundesliga,2021,65850000
Bochum,Bundesliga,2021,52250000
Greuther Fürth,Bundesliga,2021,36950000
Bayern Munich,Bundesliga,2020,858225000
Borussia Dortmund,Bundesliga,2020,628400000
RB Leipzig,Bundesliga,2020,574950000
Bayer Leverkusen,Bundesliga,2020,373250000
Borussia Mönchengladbach,Bundesliga,2020,300750000
Frankfurt,Bundesliga,2020,269150000
Wolfsburg,Bundesliga,2020,256825000
Hertha BSC,Bundesliga,2020,228875000
Hoffenheim,Bundesliga,2020,228150000
Stuttgart,Bundesliga,2020,189250000
Mainz,Bundesliga,2020,163300000
Freiburg,Bundesliga,2020,139100000
Schalke,Bundesliga,2020,123050000
Köln,Bundesliga,2020,118200000
Werder Bremen,Bundesliga,2020,111975000
Augsburg,Bundesliga,2020,93050000
Union Berlin,Bundesliga,2020,82050000
Arminia Bielefeld,Bundesliga,2020,56725000
Bayern Munich,Bundesliga,2019,777325000
Borussia Dortmund,Bundesliga,2019,654050000
RB Leipzig,Bundesliga,2019,570475000
Bayer Leverkusen,Bundesliga,2019,398950000
Borussia Mönchengladbach,Bundesliga,2019,254700000
Hoffenheim,Bundesliga,2019,226050000
Schalke,Bundesliga,2019,221575000
Hertha BSC,Bundesliga,2019,217200000
Frankfurt,Bundesliga,2019,208975000
Wolfsburg,Bundesliga,2019,207600000
Werder Bremen,Bundesliga,2019,135125000
Freiburg,Bundesliga,2019,122650000
Mainz,Bundesliga,2019,121575000
Augsburg,Bundesliga,2019,112950000
Köln,Bundesliga,2019,98475000
Düsseldorf,Bundesliga,2019,71725000
Union Berlin,Bundesliga,2019,41200000
Paderborn,Bundesliga,2019,28900000
Bayern Munich,Bundesliga,2018,784875000
Borussia Dortmund,Bundesliga,2018,643250000
RB Leipzig,Bundesliga,2018,479000000
Bayer Leverkusen,Bundesliga,2018,429400000
Hoffenheim,Bundesliga,2018,336250000
Frankfurt,Bundesliga,2018,313400000
Borussia Mönchengladbach,Bundesliga,2018,264300000
Wolfsburg,Bundesliga,2018,229250000
Schalke,Bundesliga,2018,221300000
Hertha BSC,Bundesliga,2018,207625000
Werder Bremen,Bundesliga,2018,168050000
Mainz,Bundesliga,2018,159725000
Stuttgart,Bundesliga,2018,143750000
Augsburg,Bundesliga,2018,139250000
Freiburg,Bundesliga,2018,122100000
Düsseldorf,Bundesliga,2018,94950000
Hannover 96,Bundesliga,2018,91425000
Nürnberg,Bundesliga,2018,54400000
Bayern Munich,Bundesliga,2017,811850000
Borussia Dortmund,Bundesliga,2017,574200000
RB Leipzig,Bundesliga,2017,373300000
Bayer Leverkusen,Bundesliga,2017,357350000
Schalke,Bundesliga,2017,274350000
Hoffenheim,Bundesliga,2017,212750000
Borussia Mönchengladbach,Bundesliga,2017,193250000
Wolfsburg,Bundesliga,2017,143600000
Stuttgart,Bundesliga,2017,134700000
Hertha BSC,Bundesliga,2017,131450000
Frankfurt,Bundesliga,2017,126150000
Werder Bremen,Bundesliga,2017,107150000
Freiburg,Bundesliga,2017,100600000
Augsburg,Bundesliga,2017,100450000
Mainz,Bundesliga,2017,98350000
Hannover 96,Bundesliga,2017,92950000
Köln,Bundesliga,2017,91725000
Hamburger SV,Bundesliga,2017,62400000
Bayern Munich,Bundesliga,2016,562550000
Borussia Dortmund,Bundesliga,2016,390650000
Bayer Leverkusen,Bundesliga,2016,265025000
Schalke,Bundesliga,2016,217250000
Wolfsburg,Bundesliga,2016,203075000
RB Leipzig,Bundesliga,2016,176325000
Borussia Mönchengladbach,Bundesliga,2016,162175000
Hoffenheim,Bundesliga,2016,138625000
Köln,Bundesliga,2016,116150000
Mainz,Bundesliga,2016,96725000
Hertha BSC,Bundesliga,2016,96525000
Werder Bremen,Bundesliga,2016,89450000
Freiburg,Bundesliga,2016,86725000
Hamburger SV,Bundesliga,2016,80475000
Frankfurt,Bundesliga,2016,72300000
Augsburg,Bundesliga,2016,65850000
Ingolstadt,Bundesliga,2016,38625000
Darmstadt,Bundesliga,2016,25975000
Bayern Munich,Bundesliga,2015,596050000
Borussia Dortmund,Bundesliga,2015,352950000
Wolfsburg,Bundesliga,2015,270425000
Bayer Leverkusen,Bundesliga,2015,241300000
Schalke,Bundesliga,2015,225200000
Borussia Mönchengladbach,Bundesliga,2015,186150000
Hoffenheim,Bundesliga,2015,90200000
Mainz,Bundesliga,2015,85150000
Stuttgart,Bundesliga,2015,81175000
Hertha BSC,Bundesliga,2015,78925000
Frankfurt,Bundesliga,2015,76600000
Augsburg,Bundesliga,2015,75825000
Köln,Bundesliga,2015,68625000
Werder Bremen,Bundesliga,2015,64675000
Hamburger SV,Bundesliga,2015,63200000
Hannover 96,Bundesliga,2015,60825000
Ingolstadt,Bundesliga,2015,35650000
Darmstadt,Bundesliga,2015,25150000
Bayern Munich,Bundesliga,2014,575125000
Borussia Dortmund,Bundesliga,2014,319500000
Wolfsburg,Bundesliga,2014,221050000
Schalke,Bundesliga,2014,212000000
Bayer Leverkusen,Bundesliga,2014,177100000
Borussia Mönchengladbach,Bundesliga,2014,130625000
Hoffenheim,Bundesliga,2014,121775000
Mainz,Bundesliga,2014,88000000
Hamburger SV,Bundesliga,2014,87150000
Stuttgart,Bundesliga,2014,86950000
Hannover 96,Bundesliga,2014,76650000
Frankfurt,Bundesliga,2014,74900000
Werder Bremen,Bundesliga,2014,67525000
Hertha BSC,Bundesliga,2014,66000000
Freiburg,Bundesliga,2014,57400000
Köln,Bundesliga,2014,50750000
Augsburg,Bundesliga,2014,50075000
Paderborn,Bundesliga,2014,28500000
Bayern Munich,Bundesliga,2013,556875000
Borussia Dortmund,Bundesliga,2013,326050000
Schalke,Bundesliga,2013,203250000
Bayer Leverkusen,Bundesliga,2013,175875000
Wolfsburg,Bundesliga,2013,155225000
Borussia Mönchengladbach,Bundesliga,2013,111375000
Stuttgart,Bundesliga,2013,108300000
Hamburger SV,Bundesliga,2013,102775000
Hoffenheim,Bundesliga,2013,97400000
Frankfurt,Bundesliga,2013,86200000
Hannover 96,Bundesliga,2013,80225000
Freiburg,Bundesliga,2013,71675000
Hertha BSC,Bundesliga,2013,68075000
Werder Bremen,Bundesliga,2013,66400000
Mainz,Bundesliga,2013,59450000
Nürnberg,Bundesliga,2013,56450000
Augsburg,Bundesliga,2013,45950000
Braunschweig,Bundesliga,2013,28575000
Bayern Munich,Bundesliga,2012,462400000
Borussia Dortmund,Bundesliga,2012,302300000
Schalke,Bundesliga,2012,183550000
Bayer Leverkusen,Bundesliga,2012,155300000
Wolfsburg,Bundesliga,2012,109000000
Hamburger SV,Bundesliga,2012,104950000
Stuttgart,Bundesliga,2012,93125000
Borussia Mönchengladbach,Bundesliga,2012,87325000
Hannover 96,Bundesliga,2012,83150000
Hoffenheim,Bundesliga,2012,78250000
Werder Bremen,Bundesliga,2012,78000000
Frankfurt,Bundesliga,2012,68400000
Freiburg,Bundesliga,2012,65800000
Mainz,Bundesliga,2012,52425000
Nürnberg,Bundesliga,2012,46825000
Augsburg,Bundesliga,2012,38450000
Greuther Fürth,Bundesliga,2012,33325000
Düsseldorf,Bundesliga,2012,31150000
Paris Saint-Germain,Ligue 1,2023,1021050000
Monaco,Ligue 1,2023,398550000
Rennes,Ligue 1,2023,375350000
Lille,Ligue 1,2023,328900000
Marseille,Ligue 1,2023,311400000
Lyon,Ligue 1,2023,305950000
Nice,Ligue 1,2023,268775000
Lens,Ligue 1,2023,205600000
Strasbourg,Ligue 1,2023,157700000
Montpellier,Ligue 1,2023,145575000
Toulouse,Ligue 1,2023,145200000
Stade Reims,Ligue 1,2023,134550000
Lorient,Ligue 1,2023,131850000
Nantes,Ligue 1,2023,125900000
Stade Brest,Ligue 1,2023,115150000
Le Havre,Ligue 1,2023,72450000
Metz,Ligue 1,2023,65400000
Clermont Foot,Ligue 1,2023,61350000
Paris Saint-Germain,Ligue 1,2022,891100000
Rennes,Ligue 1,2022,387750000
Monaco,Ligue 1,2022,368300000
Lyon,Ligue 1,2022,350950000
Marseille,Ligue 1,2022,331550000
Nice,Ligue 1,2022,310800000
Lille,Ligue 1,2022,247950000
Lens,Ligue 1,2022,238200000
Lorient,Ligue 1,2022,175450000
Stade Reims,Ligue 1,2022,159050000
Montpellier,Ligue 1,2022,142900000
Strasbourg,Ligue 1,2022,123550000
Nantes,Ligue 1,2022,119275000
Toulouse,Ligue 1,2022,104800000
Stade Brest,Ligue 1,2022,76650000
Troyes,Ligue 1,2022,76300000
Angers,Ligue 1,2022,71800000
Auxerre,Ligue 1,2022,54800000
Clermont Foot,Ligue 1,2022,48000000
Ajaccio,Ligue 1,2022,27000000
Paris Saint-Germain,Ligue 1,2021,875150000
Lyon,Ligue 1,2021,397700000
Monaco,Ligue 1,2021,396000000
Lille,Ligue 1,2021,306875000
Rennes,Ligue 1,2021,305350000
Marseille,Ligue 1,2021,284700000
Nice,Ligue 1,2021,266050000
Lens,Ligue 1,2021,154050000
Stade Reims,Ligue 1,2021,149400000
Montpellier,Ligue 1,2021,144600000
Strasbourg,Ligue 1,2021,120050000
Bordeaux,Ligue 1,2021,116850000
Nantes,Ligue 1,2021,112650000
Saint-Étienne,Ligue 1,2021,105650000
Stade Brest,Ligue 1,2021,103150000
Metz,Ligue 1,2021,91050000
Angers,Ligue 1,2021,89500000
Troyes,Ligue 1,2021,73200000
Lorient,Ligue 1,2021,61300000
Clermont Foot,Ligue 1,2021,55100000
Paris Saint-Germain,Ligue 1,2020,805000000
Lyon,Ligue 1,2020,431350000
Monaco,Ligue 1,2020,370350000
Lille,Ligue 1,2020,323200000
Rennes,Ligue 1,2020,297500000
Marseille,Ligue 1,2020,247950000
Nice,Ligue 1,2020,236100000
Saint-Étienne,Ligue 1,2020,154500000
Montpellier,Ligue 1,2020,113850000
Angers,Ligue 1,2020,111650000
Strasbourg,Ligue 1,2020,109650000
Bordeaux,Ligue 1,2020,105700000
Stade Reims,Ligue 1,2020,105175000
Lens,Ligue 1,2020,104300000
Metz,Ligue 1,2020,103500000
Stade Brest,Ligue 1,2020,103225000
Nantes,Ligue 1,2020,95075000
Lorient,Ligue 1,2020,72875000
Dijon,Ligue 1,2020,65625000
Nîmes,Ligue 1,2020,60400000
Paris Saint-Germain,Ligue 1,2019,874150000
Lyon,Ligue 1,2019,384550000
Monaco,Ligue 1,2019,331025000
Lille,Ligue 1,2019,247775000
Marseille,Ligue 1,2019,216150000
Nice,Ligue 1,2019,173450000
Rennes,Ligue 1,2019,171875000
Bordeaux,Ligue 1,2019,125350000
Nantes,Ligue 1,2019,106150000
Saint-Étienne,Ligue 1,2019,104825000
Strasbourg,Ligue 1,2019,91125000
Angers,Ligue 1,2019,89475000
Montpellier,Ligue 1,2019,81675000
Stade Reims,Ligue 1,2019,81675000
Toulouse,Ligue 1,2019,71875000
Amiens,Ligue 1,2019,61925000
Metz,Ligue 1,2019,54100000
Dijon,Ligue 1,2019,50225000
Nîmes,Ligue 1,2019,49650000
Stade Brest,Ligue 1,2019,47775000
Paris Saint-Germain,Ligue 1,2018,1009950000
Lyon,Ligue 1,2018,467950000
Monaco,Ligue 1,2018,385825000
Lille,Ligue 1,2018,267550000
Marseille,Ligue 1,2018,258350000
Nice,Ligue 1,2018,183200000
Bordeaux,Ligue 1,2018,179000000
Rennes,Ligue 1,2018,168450000
Saint-Étienne,Ligue 1,2018,131250000
Nantes,Ligue 1,2018,119500000
Toulouse,Ligue 1,2018,113250000
Montpellier,Ligue 1,2018,109850000
Strasbourg,Ligue 1,2018,98000000
Nîmes,Ligue 1,2018,88150000
Stade Reims,Ligue 1,2018,86950000
Angers,Ligue 1,2018,79700000
Guingamp,Ligue 1,2018,70650000
Amiens,Ligue 1,2018,70500000
Caen,Ligue 1,2018,67550000
Dijon,Ligue 1,2018,65800000
Paris Saint-Germain,Ligue 1,2017,900100000
Monaco,Ligue 1,2017,529800000
Lyon,Ligue 1,2017,363800000
Marseille,Ligue 1,2017,236800000
Nice,Ligue 1,2017,204100000
Bordeaux,Ligue 1,2017,155450000
Rennes,Ligue 1,2017,131250000
Toulouse,Ligue 1,2017,110450000
Saint-Étienne,Ligue 1,2017,106875000
Nantes,Ligue 1,2017,105700000
Lille,Ligue 1,2017,96750000
Montpellier,Ligue 1,2017,71850000
Dijon,Ligue 1,2017,70300000
Amiens,Ligue 1,2017,69850000
Angers,Ligue 1,2017,69550000
Caen,Ligue 1,2017,60100000
Guingamp,Ligue 1,2017,51900000
Metz,Ligue 1,2017,51200000
Strasbourg,Ligue 1,2017,45600000
Troyes,Ligue 1,2017,45050000
Paris Saint-Germain,Ligue 1,2016,519000000
Monaco,Ligue 1,2016,309550000
Lyon,Ligue 1,2016,211350000
Nice,Ligue 1,2016,132800000
Marseille,Ligue 1,2016,119650000
Bordeaux,Ligue 1,2016,88900000
Saint-Étienne,Ligue 1,2016,85025000
Lille,Ligue 1,2016,83900000
Rennes,Ligue 1,2016,80900000
Toulouse,Ligue 1,2016,77300000
Lorient,Ligue 1,2016,61100000
Montpellier,Ligue 1,2016,60950000
Nantes,Ligue 1,2016,50900000
Angers,Ligue 1,2016,46075000
Guingamp,Ligue 1,2016,42500000
Metz,Ligue 1,2016,37550000
Caen,Ligue 1,2016,36650000
Bastia,Ligue 1,2016,36450000
Nancy,Ligue 1,2016,33100000
Dijon,Ligue 1,2016,31200000
Paris Saint-Germain,Ligue 1,2015,436300000
Monaco,Ligue 1,2015,227400000
Lyon,Ligue 1,2015,166300000
Marseille,Ligue 1,2015,129500000
Saint-Étienne,Ligue 1,2015,97200000
Rennes,Ligue 1,2015,94150000
Bordeaux,Ligue 1,2015,90700000
Nice,Ligue 1,2015,70950000
Lille,Ligue 1,2015,70800000
Lorient,Ligue 1,2015,58050000
Montpellier,Ligue 1,2015,44400000
Stade Reims,Ligue 1,2015,42950000
Toulouse,Ligue 1,2015,42900000
Nantes,Ligue 1,2015,39300000
Caen,Ligue 1,2015,36800000
Guingamp,Ligue 1,2015,33500000
Angers,Ligue 1,2015,32350000
Troyes,Ligue 1,2015,30700000
Bastia,Ligue 1,2015,24250000
Ajaccio,Ligue 1,2015,18400000
Paris Saint-Germain,Ligue 1,2014,363900000
Monaco,Ligue 1,2014,187700000
Lyon,Ligue 1,2014,144650000
Marseille,Ligue 1,2014,139700000
Saint-Étienne,Ligue 1,2014,83350000
Lille,Ligue 1,2014,82650000
Bordeaux,Ligue 1,2014,71500000
Rennes,Ligue 1,2014,66000000
Lorient,Ligue 1,2014,59950000
Nice,Ligue 1,2014,56250000
Montpellier,Ligue 1,2014,51950000
Toulouse,Ligue 1,2014,48800000
Nantes,Ligue 1,2014,46850000
Stade Reims,Ligue 1,2014,39250000
Guingamp,Ligue 1,2014,36250000
Evian,Ligue 1,2014,36150000
Bastia,Ligue 1,2014,34250000
Caen,Ligue 1,2014,32400000
Metz,Ligue 1,2014,29850000
Lens,Ligue 1,2014,27200000
Paris Saint-Germain,Ligue 1,2013,402300000
Monaco,Ligue 1,2013,242550000
Marseille,Ligue 1,2013,141300000
Lyon,Ligue 1,2013,108500000
Saint-Étienne,Ligue 1,2013,105400000
Rennes,Ligue 1,2013,92600000
Lille,Ligue 1,2013,74100000
Toulouse,Ligue 1,2013,67400000
Bordeaux,Ligue 1,2013,62700000
Lorient,Ligue 1,2013,57150000
Nice,Ligue 1,2013,56100000
Montpellier,Ligue 1,2013,52350000
Sochaux,Ligue 1,2013,47450000
Nantes,Ligue 1,2013,39550000
Stade Reims,Ligue 1,2013,38725000
Valenciennes,Ligue 1,2013,36650000
Bastia,Ligue 1,2013,35600000
Evian,Ligue 1,2013,35000000
Ajaccio,Ligue 1,2013,28300000
Guingamp,Ligue 1,2013,21425000
Paris Saint-Germain,Ligue 1,2012,313600000
Lyon,Ligue 1,2012,155650000
Marseille,Ligue 1,2012,150650000
Lille,Ligue 1,2012,114600000
Rennes,Ligue 1,2012,97800000
Saint-Étienne,Ligue 1,2012,97600000
Toulouse,Ligue 1,2012,82000000
Bordeaux,Ligue 1,2012,80950000
Montpellier,Ligue 1,2012,78700000
Lorient,Ligue 1,2012,63750000
Nice,Ligue 1,2012,59150000
Valenciennes,Ligue 1,2012,49750000
Sochaux,Ligue 1,2012,46850000
Nancy,Ligue 1,2012,36850000
Stade Brest,Ligue 1,2012,36100000
Bastia,Ligue 1,2012,36050000
Evian,Ligue 1,2012,34550000
Ajaccio,Ligue 1,2012,34100000
Stade Reims,Ligue 1,2012,29500000
Troyes,Ligue 1,2012,21800000
